Country,Regional Office,RO_Acronym,
Burundi,Eastern Africa,,
Djibouti,Eastern Africa,,
Eritrea,Eastern Africa,,
Ethiopia,Eastern Africa,,
Kenya,Eastern Africa,,
Rwanda,Eastern Africa,,
South Sudan,Eastern Africa,,
Sudan,Eastern Africa,,
Uganda,Eastern Africa,,
Somalia,Eastern Africa,,
Mexico,Regional Office for Latin America and the Caribbean,ROLAC,
El Salvador,Regional Office for Latin America and the Caribbean,ROLAC,
Guatemala,Regional Office for Latin America and the Caribbean,ROLAC,
Honduras,Regional Office for Latin America and the Caribbean,ROLAC,
Nicaragua,Regional Office for Latin America and the Caribbean,ROLAC,
Costa Rica,Regional Office for Latin America and the Caribbean,ROLAC,
Ecuador,Regional Office for Latin America and the Caribbean,ROLAC,
Bolivia,Regional Office for Latin America and the Caribbean,ROLAC,
Peru,Regional Office for Latin America and the Caribbean,ROLAC,
Argentina,Regional Office for Latin America and the Caribbean,ROLAC,
Chile,Regional Office for Latin America and the Caribbean,ROLAC,
Dominican Republic,Regional Office for Latin America and the Caribbean,ROLAC,
Bangladesh,Regional Office for Asia and the Pacific,ROAP,
Indonesia,Regional Office for Asia and the Pacific,ROAP,
Japan,Regional Office for Asia and the Pacific,ROAP,
Myanmar,Regional Office for Asia and the Pacific,ROAP,
Nepal,Regional Office for Asia and the Pacific,ROAP,
Papua New Guinea,Regional Office for Asia and the Pacific,ROAP,
Philippines,Regional Office for Asia and the Pacific,ROAP,
Sri Lanka,Regional Office for Asia and the Pacific,ROAP,
Armenia,Regional Office for the Caucasus and Central Asia,ROCCA,
Azerbaijan,Regional Office for the Caucasus and Central Asia,ROCCA,
Georgia,Regional Office for the Caucasus and Central Asia,ROCCA,
Kazakhstan,Regional Office for the Caucasus and Central Asia,ROCCA,
Kyrgyzstan,Regional Office for the Caucasus and Central Asia,ROCCA,
Tajikistan,Regional Office for the Caucasus and Central Asia,ROCCA,
Turkmenistan,Regional Office for the Caucasus and Central Asia,ROCCA,
Uzbekistan,Regional Office for the Caucasus and Central Asia,ROCCA,
Cook Islands,Regional Office for the Pacific,ROP,
Federated States of Micronesia,Regional Office for the Pacific,ROP,
Fiji,Regional Office for the Pacific,ROP,
Kiribati,Regional Office for the Pacific,ROP,
Marshall Islands,Regional Office for the Pacific,ROP,
Nauru,Regional Office for the Pacific,ROP,
Niue,Regional Office for the Pacific,ROP,
Palau,Regional Office for the Pacific,ROP,
Samoa,Regional Office for the Pacific,ROP,
Solomon Islands,Regional Office for the Pacific,ROP,
Tokelau,Regional Office for the Pacific,ROP,
Tonga,Regional Office for the Pacific,ROP,
Tuvalu,Regional Office for the Pacific,ROP,
Vanuatu,Regional Office for the Pacific,ROP,
Burkina Faso,Regional Office for West and Central Africa,ROWCA,
Cote d'Ivoire,Regional Office for West and Central Africa,ROWCA,
Guinea,Regional Office for West and Central Africa,ROWCA,
Liberia,Regional Office for West and Central Africa,ROWCA,
Mali,Regional Office for West and Central Africa,ROWCA,
Mauritania,Regional Office for West and Central Africa,ROWCA,
Niger,Regional Office for West and Central Africa,ROWCA,
Nigeria,Regional Office for West and Central Africa,ROWCA,
Central African Republic,Regional Office for West and Central Africa,ROWCA,
Democratic Republic of the Congo,Regional Office for West and Central Africa,ROWCA,
Afghanistan,Regional Office for the Middle East and North Africa,ROMENA,
Yemen,Regional Office for the Middle East and North Africa,ROMENA,
Algeria,Regional Office for the Middle East and North Africa,ROMENA,
Bahrain,Regional Office for the Middle East and North Africa,ROMENA,
Egypt,Regional Office for the Middle East and North Africa,ROMENA,
Iran,Regional Office for the Middle East and North Africa,ROMENA,
Iraq,Regional Office for the Middle East and North Africa,ROMENA,
Jordan,Regional Office for the Middle East and North Africa,ROMENA,
Kuwait,Regional Office for the Middle East and North Africa,ROMENA,
Lebanon,Regional Office for the Middle East and North Africa,ROMENA,
Libya,Regional Office for the Middle East and North Africa,ROMENA,
Morocco,Regional Office for the Middle East and North Africa,ROMENA,
Oman,Regional Office for the Middle East and North Africa,ROMENA,
Pakistan,Regional Office for the Middle East and North Africa,ROMENA,
occupied Palestinian territories,Regional Office for the Middle East and North Africa,ROMENA,
Qatar,Regional Office for the Middle East and North Africa,ROMENA,
Saudi Arabia,Regional Office for the Middle East and North Africa,ROMENA,
Syria,Regional Office for the Middle East and North Africa,ROMENA,
Tunisia,Regional Office for the Middle East and North Africa,ROMENA,
Turkey,Regional Office for the Middle East and North Africa,ROMENA,
United Arab Emirates,Regional Office for the Middle East and North Africa,ROMENA,
Angola ,Regional Office for Southern Africa,ROSA,
Botswana,Regional Office for Southern Africa,ROSA,
Comoros,Regional Office for Southern Africa,ROSA,
Lesotho,Regional Office for Southern Africa,ROSA,
Madagascar,Regional Office for Southern Africa,ROSA,
Malawi,Regional Office for Southern Africa,ROSA,
Mauritus,Regional Office for Southern Africa,ROSA,
Mozambique,Regional Office for Southern Africa,ROSA,
Namibia,Regional Office for Southern Africa,ROSA,
Seychelles,Regional Office for Southern Africa,ROSA,
South Africa,Regional Office for Southern Africa,ROSA,
Swaziland,Regional Office for Southern Africa,ROSA,
Tanzania,Regional Office for Southern Africa,ROSA,
Zambia,Regional Office for Southern Africa,ROSA,
Zimbabwe,Regional Office for Southern Africa,ROSA,
